UserId,UserName,Title,ActionDate,Description,ActionType,ActionOn,DateTime,ObjectName,ObjectType
sasadm,SAS Administrator,,2024-02-05,,updated,Generated transformation,05/02/2024 16:16:22,DB2 CDC,
sasadm,SAS Administrator,,2024-02-27,,updated,User group,27/02/2024 16:04:27,ART,Group
sasadm,SAS Administrator,,2024-02-27,,updated,Authentication domain,27/02/2024 16:04:27,ARTAUTH,
sasadm,SAS Administrator,,2024-02-27,,added,User group,27/02/2024 16:04:27,ART,Group
sasadm,SAS Administrator,,2024-02-27,"Role  Name=Visual Analytics: Administration, ObjId=A55FVM56.A500001O.",Add Member,IdentityGroup,27/02/2024 16:04:27,ART,Group
sasadm,SAS Administrator,,2024-02-27,"Role  Name=META: User and Group Administrators Role, ObjId=A55FVM56.A5000005.",Add Member,IdentityGroup,27/02/2024 16:04:27,ART,Group
sasadm,SAS Administrator,,2024-02-06,,added,Login,06/02/2024 01:17:23,FCFBU1,
sasadm,SAS Administrator,,2024-02-06,,added,Login,06/02/2024 01:17:20,FCFKC,
sasadm,SAS Administrator,,2024-02-06,,added,Login,06/02/2024 01:17:17,FCFCORE,
sasadm,SAS Administrator,,2024-02-06,,added,Authentication domain,06/02/2024 01:17:14,FCFBU1 Segmented Knowledge Center,
sasadm,SAS Administrator,,2024-02-06,,added,Authentication domain,06/02/2024 01:17:10,FCFBU1 Knowledge Center,
sasadm,SAS Administrator,,2024-02-06,,added,Authentication domain,06/02/2024 01:17:07,FCFBU1 Core,
sasadm,SAS Administrator,,2024-02-06,,added,User group,06/02/2024 01:17:03,CS-FCFBU1,Group
sasadm,SAS Administrator,,2024-02-06,,updated,User,06/02/2024 01:00:19,sasinst,
sasadm,SAS Administrator,,2024-02-06,,updated,User,06/02/2024 00:59:09,sasinst,
sasadm,SAS Administrator,,2024-02-06,,updated,User,06/02/2024 00:58:56,sasinst,
sasadm,SAS Administrator,,2024-02-06,,added,User,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Report Viewing, ObjId=A55FVM56.A500001L.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Data Building, ObjId=A55FVM56.A500001N.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Basic, ObjId=A55FVM56.A500001P.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Analysis, ObjId=A55FVM56.A500001M.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Administration, ObjId=A55FVM56.A500001O.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Theme Designer: Administration, ObjId=A55FVM56.A500000Y.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Task Manager: Task View, ObjId=A55FVM56.A500001H.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Task Manager: Task Management, ObjId=A55FVM56.A500001G.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Task Manager: Task Administration, ObjId=A55FVM56.A500001F.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=SNA_INVESTIGATOR, ObjId=A55FVM56.A500001Y.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=SAS Studio: Usage, ObjId=A55FVM56.A500001Z.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=SAS Studio: Report Consumer, ObjId=A55FVM56.A5000020.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Process Orchestration: Job Execution, ObjId=A55FVM56.A500001A.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Process Orchestration: Job Development, ObjId=A55FVM56.A5000019.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Process Orchestration: Job Administration, ObjId=A55FVM56.A5000018.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Management Console: Content Management, ObjId=A55FVM56.A500000K.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Management Console: Advanced, ObjId=A55FVM56.A500000J.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=META: User and Group Administrators Role, ObjId=A55FVM56.A5000005.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=META: Unrestricted Users Role, ObjId=A55FVM56.A5000004.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=META: Operators Role, ObjId=A55FVM56.A5000006.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Monitor: Operation, ObjId=A55FVM56.A5000017.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Submitter, ObjId=A55FVM56.A500000T.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Scheduler, ObjId=A55FVM56.A500000V.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Designer, ObjId=A55FVM56.A500000U.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Administrator, ObjId=A55FVM56.A500000S.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Home: Usage, ObjId=A55FVM56.A500001J.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Home: Administration, ObjId=A55FVM56.A500001I.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Fonts Administrator, ObjId=A55FVM56.A500000Z.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Enterprise Guide: Programming, ObjId=A55FVM56.A500000I.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Enterprise Guide: OLAP, ObjId=A55FVM56.A500000H.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Enterprise Guide: Analysis, ObjId=A55FVM56.A500000G.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Enterprise Guide: Advanced, ObjId=A55FVM56.A500000F.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=EFILE_TRANSMITTER, ObjId=A55FVM56.A5000028.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Data Remediation: Issue View, ObjId=A55FVM56.A500001E.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Data Remediation: Issue Management, ObjId=A55FVM56.A500001D.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Data Remediation: Issue Administration, ObjId=A55FVM56.A500001C.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Data Management: Process Orchestration, ObjId=A55FVM56.A500001B.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Data Management: Operation, ObjId=A55FVM56.A5000016.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Customer Due Diligence: Scenario Manager User, ObjId=A55FVM56.A500002M.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Customer Due Diligence: Manager, ObjId=A55FVM56.A500002K.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Customer Due Diligence: Investigator, ObjId=A55FVM56.A500002J.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Customer Due Diligence: Administrator, ObjId=A55FVM56.A500002L.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Compliance Solutions: Quality Review and Audit, ObjId=A55FVM56.A500002N.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Comments: Administrator, ObjId=A55FVM56.A500000R.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=CASE_MANAGER, ObjId=A55FVM56.A5000023.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=CASE_LEGAL, ObjId=A55FVM56.A5000024.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=CASE_INVESTIGATOR, ObjId=A55FVM56.A5000021.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=CASE_FILER, ObjId=A55FVM56.A5000025.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=CASE_ANALYST, ObjId=A55FVM56.A5000022.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=CASE_ADVANCED, ObjId=A55FVM56.A5000027.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=CASE_ADMIN, ObjId=A55FVM56.A5000026.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Anti-Money Laundering: Scenario Administrator User, ObjId=A55FVM56.A500002I.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Anti-Money Laundering: Manager, ObjId=A55FVM56.A500002F.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Anti-Money Laundering: Investigator, ObjId=A55FVM56.A500002E.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Anti-Money Laundering: E-File Manager, ObjId=A55FVM56.A500002H.",Add Member,Person,06/02/2024 00:58:55,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=CDD Scenario Manager Users, ObjId=A55FVM56.A500001U.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=CDD Managers, ObjId=A55FVM56.A500000O.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=CDD Investigators, ObjId=A55FVM56.A500001T.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=CDD Administrators, ObjId=A55FVM56.A500000Q.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=CASE_FINANCIAL, ObjId=A55FVM56.A500001V.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=Business Unit Knowledge Center, ObjId=A55FVM56.A500000E.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=BI Web Services Users, ObjId=A55FVM56.A500000W.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=AML Scenario Administrators, ObjId=A55FVM56.A500001S.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=AML Managers, ObjId=A55FVM56.A500000N.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=AML Investigators, ObjId=A55FVM56.A500001R.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=AML E-File Managers, ObjId=A55FVM56.A5000029.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=AML Analysts, ObjId=A55FVM56.A500001Q.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"IdentityGroup  Name=AML Administrators, ObjId=A55FVM56.A500000P.",Remove Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Report Viewing, ObjId=A55FVM56.A500001L.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Data Building, ObjId=A55FVM56.A500001N.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Basic, ObjId=A55FVM56.A500001P.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Analysis, ObjId=A55FVM56.A500001M.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Visual Analytics: Administration, ObjId=A55FVM56.A500001O.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Theme Designer: Administration, ObjId=A55FVM56.A500000Y.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Task Manager: Task View, ObjId=A55FVM56.A500001H.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Task Manager: Task Management, ObjId=A55FVM56.A500001G.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Task Manager: Task Administration, ObjId=A55FVM56.A500001F.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=SNA_INVESTIGATOR, ObjId=A55FVM56.A500001Y.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=SAS Studio: Usage, ObjId=A55FVM56.A500001Z.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=SAS Studio: Report Consumer, ObjId=A55FVM56.A5000020.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Process Orchestration: Job Execution, ObjId=A55FVM56.A500001A.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Process Orchestration: Job Development, ObjId=A55FVM56.A5000019.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Process Orchestration: Job Administration, ObjId=A55FVM56.A5000018.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Management Console: Content Management, ObjId=A55FVM56.A500000K.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Management Console: Advanced, ObjId=A55FVM56.A500000J.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=META: User and Group Administrators Role, ObjId=A55FVM56.A5000005.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=META: Unrestricted Users Role, ObjId=A55FVM56.A5000004.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=META: Operators Role, ObjId=A55FVM56.A5000006.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Monitor: Operation, ObjId=A55FVM56.A5000017.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Submitter, ObjId=A55FVM56.A500000T.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Scheduler, ObjId=A55FVM56.A500000V.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Designer, ObjId=A55FVM56.A500000U.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Job Execution: Job Administrator, ObjId=A55FVM56.A500000S.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Home: Usage, ObjId=A55FVM56.A500001J.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Home: Administration, ObjId=A55FVM56.A500001I.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Fonts Administrator, ObjId=A55FVM56.A500000Z.",Add Member,Person,06/02/2024 00:24:59,sasinst,
sasadm,SAS Administrator,,2024-02-06,"Role  Name=Enterprise Guide: Programming, ObjId=A55FVM56.A500000I.",Add Member,Person,06/02/2024 00:24:59,sasinst,
