
Ecm Reference,Branch Name,Case Creation Date,Customer Name,Amount,Currency,Primary Owner,Case Status,Last Action Taken By,Product,Product Type,Event Name,Applicant Id,Expiry Date,Beneficiary Name
999999,,11/11/1960 00:00:00,,,,,,,,,,,,
ACH-17559,,21/07/2021 15:25:38,,0,,,Sanction New,achadmin,,,,,,
ACH-3701,,12/10/2020 13:25:50,,,,,Sanction New,achadmin,,,,,,
ACH-3702,,12/10/2020 13:25:41,,,,,Sanction New,achadmin,,,,,,
ACH-3703,,12/10/2020 13:24:33,,,,,Sanction New,achadmin,,,,,,
ACH-3704,,12/10/2020 13:24:34,,,,,Sanction New,achadmin,,,,,,
ACH-3705,,12/10/2020 13:25:53,,,,,Sanction New,achadmin,,,,,,
ACH-3706,,12/10/2020 13:26:25,,,,,Sanction New,achadmin,,,,,,
ACH-3707,,12/10/2020 13:34:37,,,,,Sanction New,achadmin,,,,,,
ACH-3708,,12/10/2020 13:35:31,,,,,Sanction New,achadmin,,,,,,
ACH-3709,,12/10/2020 13:55:00,,,,,Checker Return,ECM Admin User,,,,,,
ACH-3710,,12/10/2020 13:54:07,,,,,Sanction New,achadmin,,,,,,
ACH-3711,,12/10/2020 13:39:54,,,,,Sanction New,achadmin,,,,,,
ACH-3712,,12/10/2020 13:40:51,,,,,Sanction New,achadmin,,,,,,
ACH-3713,,12/10/2020 13:52:47,,,,,Sanction New,achadmin,,,,,,
ACH-3714,,12/10/2020 13:53:15,,,,,Sanction New,achadmin,,,,,,
ACH-3715,,12/10/2020 13:31:16,,,,,Sanction New,achadmin,,,,,,
ACH-3716,,12/10/2020 13:31:10,,,,,Sanction New,achadmin,,,,,,
ACH-3725,,12/10/2020 13:34:37,,,,,Sanction New,achadmin,,,,,,
ACH-3727,,12/10/2020 13:35:18,,,,,Sanction New,achadmin,,,,,,
ACH-3729,,12/10/2020 13:41:27,,,,,Sanction New,achadmin,,,,,,
ACH-3730,,12/10/2020 13:39:09,,,,,Sanction New,achadmin,,,,,,
ACH-3732,,12/10/2020 13:51:37,,,,,Sanction New,achadmin,,,,,,
ACH-3736,,12/10/2020 13:35:29,,,,,Sanction New,achadmin,,,,,,
ACH-3741,,12/10/2020 13:30:14,,,,,Sanction New,achadmin,,,,,,
