GroupName,GroupDescription,Grouptype,CapabilityId,CapabilitiyGroupName,CapName,ComponentName
AML Administrators,Members of this group have Administrator role,Group,AML.LOGS.ACCESS,Anti-Money Laundering Administration,View Application Logs,Compliance Solutions Mid 7.1
AML Administrators,Members of this group have Administrator role,Group,AML.CLEAR_CACHE,Anti-Money Laundering Administration,Clear Cache,Compliance Solutions Mid 7.1
AML Administrators,Members of this group have Administrator role,Group,AML.AUDIT_EVENTS.ACCESS,Anti-Money Laundering Administration,View Audit Events,Compliance Solutions Mid 7.1
AML Administrators,Members of this group have Administrator role,Group,FCF.SERVICES.ACCESS.ALL,Compliance Solutions Services,Access Compliance Solutions REST Services,Compliance Solutions Mid 7.1
AML Administrators,Members of this group have Administrator role,Group,AML.RISK_CLASSIFIERS.MANAGE,Anti-Money Laundering Risk Assessment,Manage Risk Classifiers,Compliance Solutions Mid 7.1
AML Administrators,Members of this group have Administrator role,Group,AML.RISK_ASSESSMENTS.MANAGE.ROUTING_RULE,Anti-Money Laundering Risk Assessment,Manage Risk Assessment Routing Rules,Compliance Solutions Mid 7.1
AML Administrators,Members of this group have Administrator role,Group,AML.LISTS.MANAGE,Anti-Money Laundering Administration,Manage Lists,Compliance Solutions Mid 7.1
AML Administrators,Members of this group have Administrator role,Group,AML.PREFERENCES.UPDATE,Anti-Money Laundering Administration,Update Preferences,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERT.CREATE,Anti-Money Laundering Alerts,Create Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ENTITY.ROUTE,Anti-Money Laundering Entities,Route Entity,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.CASE.ROUTE,Anti-Money Laundering Cases,Route My Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERTS.ACCESS.SEARCH,Anti-Money Laundering Alerts,Access Alert Search,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERT.SUPPRESS,Anti-Money Laundering Alerts,Suppress My Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENT.TAKE_OWNERSHIP,Anti-Money Laundering Risk Assessment,Take Risk Assessment Ownership,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.REPORT.ROUTE,Anti-Money Laundering Regulatory Reports,Route My Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ENTITY.CHECKOUT,Anti-Money Laundering Entities,Take Entity Ownership,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.CASE.EDIT,Anti-Money Laundering Cases,Edit My Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENTS.ACCESS.SEARCH,Anti-Money Laundering Risk Assessment,Access Risk Assessments Search,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.REPORT.CHECKOUT,Anti-Money Laundering Regulatory Reports,Take Regulatory Report Ownership,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERT.EDIT,Anti-Money Laundering Alerts,Edit Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,FCF.CASE.ACCESS,Compliance Solutions Cases,Access Cases,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENTS.ACCESS.CLOSED,Anti-Money Laundering Risk Assessment,Access Closed Risk Assessments,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERTS.ACCESS.AVAILABLE,Anti-Money Laundering Alerts,Access Available Alerts,Compliance Solutions Mid 7.1
