Case ID,Case Type,Case Status,Case Description,Priority,CreateUserId,Investigator,Create Date,Updated By,Transaction Type,Transaction Amount,Transaction Direction,Transaction Currency,Swift Reference,Party Name,Party Number,Locked By,Ecm Last Status Date,Hits Count,Durations In Seconds,Durations In Minutes,Durations In Hours,Durations In Days
2019-49907,,Sanction New,,,DGECM,,16/12/2019 19:01:42,,Unknown,,,,,,,,09/10/2021 11:22:34,,57255652,954260,15904,662
2020-49923,,Sanction New,,,DGECM,,21/01/2020 14:13:51,,Unknown,,,,,,,,,,,,,
2020-49924,,Sanction New,,,DGECM,,21/01/2020 14:16:33,,Unknown,,,,,,,,,,,,,
2020-49925,Sanction  SWIFT,Sanction New,,High,DGECM,,22/01/2020 09:13:25,ECM Admin User,Unknown,,,,," "," ",,08/11/2021 15:27:41,,56700856,945014,15750,656
2020-49926,WHITELIST Case,Sanction Close,,,DGECM,DG_ECM_ADMIN,22/01/2020 09:28:34,DG_ECM_ADMIN,Unknown,,,,,,,,11/11/2021 17:49:11,,56967636,949460,15824,659
2020-49927,WHITELIST Case,Sanction Open,,,DGECM,,22/01/2020 09:45:29,mali,Unknown,,,,,,,,27/09/2021 14:53:53,,53068104,884468,14741,614
2021-266000,,"Under review ",,High,Muneer,,10/02/2021 00:00:00,Hamza,Unknown,,,,,Muneer Ahmed Alwan,12345678,,,,,,,
2022-51460,,"Under review ",Case Opened Due to: FATCA_COUNTRY_CD: US,Low,kycmaker,kychecker,13/04/2022 01:12:13,kychecker,Unknown,,,,,Ahmed  Osama,51460,,18/05/2022 17:24:58,,3082365,51372,856,35
2022-51461,,Under Review,,Low,kycmaker,kychecker,13/04/2022 01:32:39,kychecker,Unknown,,,,,Cristiano Mohamed Ronaldo,51461,,18/05/2022 17:25:32,,3081173,51352,855,35
2022-51462,,"Under review ",,Low,kychecker,kycmaker,13/04/2022 04:31:17,kycmaker,Unknown,,,,,Ahmed Osama,,,01/06/2022 19:15:39,,4286662,71444,1190,49
2022-51463,,,,Low,kycmaker,,13/04/2022 04:37:54,,Unknown,,,,,Leonel Khaled,,,13/04/2022 04:37:54,,0,0,0,0
2022-51464,,Under Review,,Low,kycmaker,kychecker,16/04/2022 22:04:24,kychecker,Unknown,,,,,الشركة العالمية المصرية,51464,,19/05/2022 19:00:23,,2840159,47335,788,32
2022-51480,,Under Review,,Low,kycmaker,,26/04/2022 12:06:44,,Unknown,,,,,Ahmed Mohamed Abdullah,51480,,26/04/2022 12:06:45,,1,0,0,0
2022-51481,,Under Review,,Low,kycmaker,,28/04/2022 10:17:59,,Unknown,,,,,منير علوان,,,28/04/2022 10:18:00,,1,0,0,0
2022-51500,,Under Review,,Low,kycmaker,,08/05/2022 14:26:28,,Unknown,,,,,تالبلات,,,08/05/2022 14:26:28,,0,0,0,0
2022-51501,,Under Review,,Low,kycmaker,,08/05/2022 14:52:12,,Unknown,,,,,hhhhhhhhhh,,,08/05/2022 14:52:12,,0,0,0,0
2022-51502,,,,Low,kycmaker,,08/05/2022 16:31:05,,Unknown,,,,,vjfjh,,,08/05/2022 16:31:05,,0,0,0,0
2022-51503,,Under Review,,Low,kycmaker,,08/05/2022 17:14:16,,Unknown,,,,,,51503,,08/05/2022 17:14:16,,0,0,0,0
2022-51504,,Under Review,,Low,kycmaker,,09/05/2022 12:44:33,,Unknown,,,,,Osama Bin Laden,51504,,09/05/2022 12:44:35,,2,0,0,0
2022-51505,,Under Review,,Low,kycmaker,,09/05/2022 14:37:07,,Unknown,,,,,"Osama Laden ",51505,,09/05/2022 14:37:10,,3,0,0,0
2022-51506,,Under Review,,Low,kycmaker,,10/05/2022 12:38:24,,Unknown,,,,,Muneer Ahmed Alwan,51506,,10/05/2022 12:38:25,,1,0,0,0
2022-51507,,Under Review,,Low,kycmaker,,10/05/2022 12:44:31,,Unknown,,,,,"باسمة  عبدالله ",,,10/05/2022 12:44:32,,1,0,0,0
2022-51508,,Under Review,,Low,kycmaker,,10/05/2022 13:02:55,,Unknown,,,,,"باسمة  Ahmed حسين ",,,10/05/2022 13:02:56,,1,0,0,0
2022-51509,,Under Review,,Low,kycmaker,,10/05/2022 13:06:36,,Unknown,,,,,باسمة  Ahmed Alwan,,,10/05/2022 13:06:36,,0,0,0,0
2022-51510,,Under Review,,Low,kycmaker,,10/05/2022 13:12:09,,Unknown,,,,,"باسمة  عبدالله ",,,10/05/2022 13:12:10,,1,0,0,0
2022-51511,,Under Review,Case Opened Due to: FATCA_COUNTRY_CD: US,Low,kycmaker,,10/05/2022 13:27:31,,Unknown,,,,,"باسمة  عبدالله ",51511,,10/05/2022 13:27:32,,1,0,0,0
2022-51512,,Sanction New,,Low,kycmaker,,10/05/2010 13:43:57,,Unknown,,,,,"باسمة  عبدالله حسين ",51512,,21/03/2023 14:16:32,,405909155,6765152,112752,4698
2022-51513,,Under Review,,Low,kycmaker,,10/05/2022 16:16:46,,Unknown,,,,,اسامة بن لادن,51513,,10/05/2022 16:16:46,,0,0,0,0
2022-51520,,,,Low,kycmaker,,15/05/2022 13:52:33,,Unknown,,,,,شركة الساحل,,,15/05/2022 13:52:34,,1,0,0,0
2022-51521,,Under Review,,Low,kycmaker,,15/05/2022 17:51:18,,Unknown,,,,,,51521,,15/05/2022 17:51:19,,1,0,0,0
2022-51522,,Under Review,,Low,kycmaker,,16/05/2022 14:43:39,,Unknown,,,,,"Muneer Ahmed ",51522,,16/05/2022 14:43:40,,1,0,0,0
2022-51523,,Under Review,,Low,kycmaker,,16/05/2022 17:22:50,,Unknown,,,,,"osama Ahmed ",51523,,16/05/2022 17:22:51,,1,0,0,0
2022-51524,,Under Review,Case Opened Due to: FATCA_COUNTRY_CD: US,High,kycmaker,kycmaker,17/05/2022 13:22:17,kychecker,Unknown,,,,,shima abdalkader ahmed,51524,,19/05/2022 20:56:16,,200038,3333,55,2
2022-51525,,Under Review,Case Opened Due to: FATCA_COUNTRY_CD: US,Low,kycmaker,,17/05/2022 14:56:50,,Unknown,,,,,اسامة بن لادن,51525,,17/05/2022 14:56:50,,0,0,0,0
2022-51526,,,Case Opened Due to: FATCA_COUNTRY_CD: US,Low,kycmaker,,17/05/2022 18:29:15,,Unknown,,,,,,,,17/05/2022 18:29:15,,0,0,0,0
2022-51527,,,,Low,kycmaker,,18/05/2022 13:15:33,,Unknown,,,,,شركه هامور,,,18/05/2022 13:15:34,,1,0,0,0
2022-51528,,,,Low,kycmaker,,18/05/2022 13:16:05,,Unknown,,,,,شركه هامور,,,18/05/2022 13:16:06,,1,0,0,0
