Role,RoleDescription,CapabilityId,CapName,CapabilitiyGroupName,ComponentName
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,AML.RISK_ASSESSMENTS.MANAGE.ROUTING_RULE,Manage Risk Assessment Routing Rules,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,AML.LOGS.ACCESS,View Application Logs,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,AML.PREFERENCES.UPDATE,Update Preferences,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,FCF.SERVICES.ACCESS.ALL,Access Compliance Solutions REST Services,Compliance Solutions Services,Compliance Solutions Mid 7.1
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,AML.CLEAR_CACHE,Clear Cache,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,AML.LISTS.MANAGE,Manage Lists,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,AML.AUDIT_EVENTS.ACCESS,View Audit Events,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Anti-Money Laundering: Administrator,Anti-Money Laundering Administrator,AML.RISK_CLASSIFIERS.MANAGE,Manage Risk Classifiers,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.RISK_ASSESSMENT.TAKE_OWNERSHIP,Take Risk Assessment Ownership,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.CASE.CHECKIN,Return Case Ownership,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,FCF.ACCESS.SEARCH.CASES,Access Search Cases Page,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,FCF.CASE.ACCESS,Access Cases,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.REPORT.CHECKOUT,Take Regulatory Report Ownership,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ENTITY.ROUTE,Route Entity,Anti-Money Laundering Entities,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.CASE.EDIT,Edit My Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.REPORT.CHECKIN,Return Regulatory Report Ownership,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERTS.ACCESS.SUPPRESSED,Access Suppressed Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERT.SUPPRESS.ALL,Suppress Any Alert,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.CASE.CHECKOUT,Take Case Ownership,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.CASE.CREATE.FROM.ALERTS,Create case from Alerts for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.RISK_ASSESSMENTS.ACCESS.SEARCH,Access Risk Assessments Search,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.RISK_ASSESSMENTS.ACCESS.CLOSED,Access Closed Risk Assessments,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERT.CLOSE,Close My Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,FCF.EXPORT.CSV,Export to CSV,Compliance Solutions Services,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.RISK_ASSESSMENT.CREATE,Create Manual Risk Assessments,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.COMMENT.CREATE,Create Note,Anti-Money Laundering Notes,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ENTITY.CHECKIN,Return Entity Ownership,Anti-Money Laundering Entities,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERTS.ACCESS.MY,Access My Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERT.SUPPRESS,Suppress My Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.CLEAR_CACHE,Clear Cache,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.RISK_ASSESSMENT.ROUTE,Route Risk Assessments,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.CASE.ROUTE,Route My Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,FCF.ENTITY.ACCESS,Access Entity,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERTS.ACCESS.AVAILABLE,Access Available Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERT.ACTIVATE.CLOSED,Activate Closed Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERT.CREATE,Create Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.RISK_ASSESSMENTS.ACCESS.MY,Access My Risk Assessments,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.REPORT.ROUTE,Route My Regulatory Reports for Anti-Money Laundering,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,AML.ALERTS.ACCESS.CLOSED,Access Closed Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,FCF.SEARCH,Access Global and Targeted Search,Compliance Solutions Services,Compliance Solutions Mid 7.1
Anti-Money Laundering: Analyst,Anti-Money Laundering Analyst,FCF.SERVICES.ACCESS.ALL,Access Compliance Solutions REST Services,Compliance Solutions Services,Compliance Solutions Mid 7.1
